Word,Separated,Count
ba,ba,1
baal,ba-al,2
baasizmom,ba-asi-zmom,3
baasizmowi,ba-asi-zmo-wi,4
baasizmów,ba-asi-zmów,3
baasizmu,ba-asi-zmu,3
baasizmy,ba-asi-zmy,3
baasskap,ba-as-skap,3
baasskapach,ba-as-ska-pach,4
baasskapami,ba-as-ska-pa-mi,5
baasskapem,ba-as-ska-pem,4
baasskapie,ba-as-ska-pie,4
baasskapom,ba-as-ska-pom,4
baasskapowi,ba-as-ska-po-wi,5
baasskapów,ba-as-ska-pów,4
baasskapu,ba-as-ska-pu,4
baasskapy,ba-as-ska-py,4
bab,bab,1
baba,ba-ba,2
baba jaga,ba-ba ja-ga,3
baba jędza,ba-ba ję-dza,3
baba-chłop,ba-ba-chłop,3
baba-jaga,baba-jaga,2
baba-jędza,baba-jędza,2
babach,ba-bach,2
babadżanian,ba-ba-dża-nian,4
babakocie,ba-ba-ko-cie,4
babakot,ba-ba-kot,3
babakota,ba-ba-ko-ta,4
babakotach,ba-ba-ko-tach,4
babakotami,ba-ba-ko-ta-mi,5
babakotem,ba-ba-ko-tem,4
babakoto,ba-ba-ko-to,4
babakotom,ba-ba-ko-tom,4
babakotu,ba-ba-ko-tu,4
babami,ba-ba-mi,3
babaszce,ba-basz-ce,3
babaszek,ba-ba-szek,3
babaszka,ba-basz-ka,3
babaszkach,ba-basz-kach,3
babaszkami,ba-basz-ka-mi,4
babaszką,ba-basz-ką,3
babaszkę,ba-basz-kę,3
babaszki,ba-basz-ki,3
babaszko,ba-basz-ko,3
babaszkom,ba-basz-kom,3
babą,ba-bą,2
babbicie,bab-bi-cie,3
babbit,bab-bit,2
babbitach,bab-bi-tach,3
babbitami,bab-bi-ta-mi,4
babbitem,bab-bi-tem,3
babbitom,bab-bi-tom,3
babbitowi,bab-bi-to-wi,4
babbitów,bab-bi-tów,3
babbitt,bab-bitt,2
babbitu,bab-bi-tu,3
babbity,bab-bi-ty,3
babbityzm,bab-bi-tyzm,3
babbityzmach,bab-bi-ty-zmach,4
babbityzmami,bab-bi-ty-zma-mi,5
babbityzmem,bab-bi-ty-zmem,4
babbityzmie,bab-bi-ty-zmie,4
babbityzmom,bab-bi-ty-zmom,4
babbityzmowi,bab-bi-ty-zmo-wi,5
babbityzmów,bab-bi-ty-zmów,4
babbityzmu,bab-bi-ty-zmu,4
babbityzmy,bab-bi-ty-zmy,4
babce,bab-ce,2
babcia,bab-cia,2
babciach,bab-ciach,2
babciami,bab-cia-mi,3
babcią,bab-cią,2
babcie,bab-cie,2
babcię,bab-cię,2
babcina,bab-ci-na,3
babciną,bab-ci-ną,3
babcince,bab-cin-ce,3
babcine,bab-ci-ne,3
babcinego,bab-ci-ne-go,4
babcinej,bab-ci-nej,3
babcinek,bab-ci-nek,3
babcinemu,bab-ci-ne-mu,4
babcini,bab-ci-ni,3
babcinka,bab-cin-ka,3
babcinkach,bab-cin-kach,3
babcinkami,bab-cin-ka-mi,4
babcinką,bab-cin-ką,3
babcinkę,bab-cin-kę,3
babcinki,bab-cin-ki,3
babcinko,bab-cin-ko,3
babcinkom,bab-cin-kom,3
babciny,bab-ci-ny,3
babcinych,bab-ci-nych,3
babcinym,bab-ci-nym,3
babcinymi,bab-ci-ny-mi,4
babciom,bab-ciom,2
babciu,bab-ciu,2
babczyński,bab-ci-ny,3
babć,brak!,1
babecki,ba-bec-ki,3
babeczce,ba-becz-ce,3
babeczek,ba-be-czek,3
babeczka,ba-becz-ka,3
babeczkach,ba-becz-kach,3
babeczkami,ba-becz-ka-mi,4
babeczką,ba-becz-ką,3
babeczkę,ba-becz-kę,3
babeczki,ba-becz-ki,3
babeczko,ba-becz-ko,3
babeczkom,ba-becz-kom,3
babek,ba-bek,2
babel,ba-bel,2
babesioza,ba-be-sio-za,4
babesiozach,ba-be-sio-zach,4
babesiozami,ba-be-sio-za-mi,5
babesiozą,ba-be-sio-zą,4
babesiozę,ba-be-sio-zę,4
babesiozie,ba-be-sio-zie,4
babesiozo,ba-be-sio-zo,4
babesiozom,ba-be-sio-zom,4
babesiozy,ba-be-sio-zy,4
babeszjoza,ba-be-szjo-za,4
babeszjozach,ba-be-szjo-zach,4
babeszjozami,ba-be-szjo-za-mi,5
babeszjozą,ba-be-szjo-zą,4
babeszjozę,ba-be-szjo-zę,4
babeszjozie,ba-be-szjo-zie,4
babeszjozo,ba-be-szjo-zo,4
babeszjozom,ba-be-szjo-zom,4
babeszjozy,ba-be-szjo-zy,4
babeuf,ba-beuf,2
babę,ba-bę,2
babi,ba-bi,2
babi jar,ba-bi jar,2
babia góra,ba-bia gó-ra,3
babiaccy,ba-biac-cy,3
babiacka,ba-biac-ka,3
babiacką,ba-biac-ką,3
babiacki,ba-biac-ki,3
babiackich,ba-biac-kich,3
babiackie,ba-biac-kie,3
babiackiego,ba-biac-kie-go,4
