Word,Separated,Count
caatindze,ca-atin-dze,3
caatinga,ca-atin-ga,3
caatingach,ca-atin-gach,3
caatingami,ca-atin-ga-mi,4
caatingą,ca-atin-gą,3
caatingę,ca-atin-gę,3
caatingi,ca-atin-gi,3
caatingo,ca-atin-go,3
caatingom,ca-atin-gom,3
cab,cab,1
caba,ca-ba,2
cabach,ca-bach,2
cabaj,ca-baj,2
cabak,ca-bak,2
cabaletcie,ca-ba-let-cie,4
cabaletta,ca-ba-let-ta,4
cabalettach,ca-ba-let-tach,4
cabalettami,ca-ba-let-ta-mi,5
cabalettą,ca-ba-let-tą,4
cabalettę,ca-ba-let-tę,4
cabaletto,ca-ba-let-to,4
cabalettom,ca-ba-let-tom,4
cabaletty,ca-ba-let-ty,4
caballerach,ca-bal-le-rach,4
caballerami,ca-bal-le-ra-mi,5
caballero,ca-bal-le-ro,4
caballerom,ca-bal-le-rom,4
caballerowie,ca-bal-le-ro-wie,5
cabernet,ca-ber-net,3
